domain,baseline,sample_count,avg_candidates,score_coverage_rate,MRR,HR@5,NDCG@5,HR@10,NDCG@10,HR@20,NDCG@20,status_label,implementation_status,comparison_variant,source_summary_path
sports,elmrec,10000,101.0,1.0,0.05370098509340962,0.0532,0.0317045492853883,0.1054,0.048371635820857316,0.2013,0.07235047327652501,same_schema_external_baseline,official_completed,official_code_qwen3base_default_hparams_declared_adaptation,outputs/sports_large10000_100neg_elmrec_graph_official_qwen3base_same_candidate/scores.csv
sports,irllrec,10000,101.0,1.0,0.12444202662842994,0.1573,0.10642150916142634,0.2215,0.12691703149297534,0.4016,0.17128490034441315,same_schema_external_baseline,official_completed,official_code_qwen3base_default_hparams_declared_adaptation,outputs/sports_large10000_100neg_irllrec_intent_official_qwen3base_same_candidate/scores.csv
sports,llm2rec,10000,101.0,1.0,0.08828933028385053,0.1105,0.06514778914391295,0.206,0.09566791850988236,0.3657,0.13561659669926907,same_schema_external_baseline,official_completed,official_code_qwen3base_default_hparams_declared_adaptation,outputs/sports_large10000_100neg_llm2rec_sasrec_official_qwen3base_same_candidate/scores.csv
sports,llmemb,10000,101.0,1.0,0.15388313355762076,0.2124,0.13885272155602335,0.3384,0.17950042152579318,0.49,0.21768683586414428,same_schema_external_baseline,official_completed,official_code_qwen3base_default_hparams_declared_adaptation,outputs/sports_large10000_100neg_llmemb_official_qwen3base_same_candidate/scores.csv
sports,llmesr,10000,101.0,1.0,0.0751149958885503,0.0916,0.054919833257876506,0.1564,0.0758115528438973,0.265,0.10310478593304104,same_schema_external_baseline,official_completed,official_code_qwen3base_default_hparams_declared_adaptation,outputs/sports_large10000_100neg_llmesr_sasrec_official_qwen3base_same_candidate/scores.csv
sports,proex,10000,101.0,1.0,0.07426897148543393,0.0821,0.051682655562088085,0.1527,0.07417226634971949,0.2777,0.10540647147617481,same_schema_external_baseline,official_completed,official_code_qwen3base_default_hparams_declared_adaptation,outputs/sports_large10000_100neg_proex_profile_official_qwen3base_same_candidate/scores.csv
sports,promax,10000,101.0,1.0,0.07410527472370795,0.0825,0.05418479544848338,0.1387,0.07215334114813154,0.237,0.09675935910495721,same_schema_external_baseline,official_completed,official_code_qwen3base_default_hparams_declared_adaptation,outputs/sports_large10000_100neg_promax_profile_official_qwen3base_same_candidate/scores.csv
sports,rlmrec,10000,101.0,1.0,0.09720456858848743,0.1212,0.078580389191345,0.1879,0.10001773336299705,0.3009,0.12818232277286493,same_schema_external_baseline,official_completed,official_code_qwen3base_default_hparams_declared_adaptation,outputs/sports_large10000_100neg_rlmrec_graphcl_official_qwen3base_same_candidate/scores.csv
toys,elmrec,10000,101.0,1.0,0.05431081812612059,0.0545,0.03259298673054038,0.1043,0.04856005753116525,0.2013,0.07278039157879498,same_schema_external_baseline,official_completed,official_code_qwen3base_default_hparams_declared_adaptation,outputs/toys_large10000_100neg_elmrec_graph_official_qwen3base_same_candidate/scores.csv
toys,irllrec,10000,101.0,1.0,0.1311986744710446,0.1565,0.11049209461545026,0.2293,0.13380144693674725,0.4098,0.1785851471792316,same_schema_external_baseline,official_completed,official_code_qwen3base_default_hparams_declared_adaptation,outputs/toys_large10000_100neg_irllrec_intent_official_qwen3base_same_candidate/scores.csv
toys,llm2rec,10000,101.0,1.0,0.15921596430464027,0.2202,0.1475691807818137,0.3172,0.17887285724512209,0.4652,0.21609262826220665,same_schema_external_baseline,official_completed,official_code_qwen3base_default_hparams_declared_adaptation,outputs/toys_large10000_100neg_llm2rec_sasrec_official_qwen3base_same_candidate/scores.csv
toys,llmemb,10000,101.0,1.0,0.1813804118284203,0.2499,0.17252113274887534,0.3505,0.20485045979333913,0.4866,0.23905481091819092,same_schema_external_baseline,official_completed,official_code_qwen3base_default_hparams_declared_adaptation,outputs/toys_large10000_100neg_llmemb_official_qwen3base_same_candidate/scores.csv
toys,llmesr,10000,101.0,1.0,0.05844977379835533,0.0637,0.037504900117522603,0.1172,0.05456849726033091,0.2203,0.08036871527121744,same_schema_external_baseline,official_completed,official_code_qwen3base_default_hparams_declared_adaptation,outputs/toys_large10000_100neg_llmesr_sasrec_official_qwen3base_same_candidate/scores.csv
toys,proex,10000,101.0,1.0,0.08121671352544663,0.0895,0.058141214365017416,0.1615,0.0810170703641553,0.3017,0.11607709818340411,same_schema_external_baseline,official_completed,official_code_qwen3base_default_hparams_declared_adaptation,outputs/toys_large10000_100neg_proex_profile_official_qwen3base_same_candidate/scores.csv
toys,promax,10000,101.0,1.0,0.08184625622431366,0.092,0.06289618254810064,0.1435,0.07937554863319267,0.2416,0.10387644003990415,same_schema_external_baseline,official_completed,official_code_qwen3base_default_hparams_declared_adaptation,outputs/toys_large10000_100neg_promax_profile_official_qwen3base_same_candidate/scores.csv
toys,rlmrec,10000,101.0,1.0,0.1058452782968119,0.1281,0.08716027936492049,0.1885,0.10650871155525234,0.305,0.1353997243006345,same_schema_external_baseline,official_completed,official_code_qwen3base_default_hparams_declared_adaptation,outputs/toys_large10000_100neg_rlmrec_graphcl_official_qwen3base_same_candidate/scores.csv
home,elmrec,10000,101.0,1.0,0.05195852255617441,0.0509,0.029717257242599254,0.1021,0.0460440741915887,0.2018,0.0708856096588022,same_schema_external_baseline,official_completed,official_code_qwen3base_default_hparams_declared_adaptation,outputs/home_large10000_100neg_elmrec_graph_official_qwen3base_same_candidate/scores.csv
home,irllrec,10000,101.0,1.0,0.07424325424843974,0.0821,0.05108975290090002,0.1443,0.07089752436733526,0.2878,0.10662011242627113,same_schema_external_baseline,official_completed,official_code_qwen3base_default_hparams_declared_adaptation,outputs/home_large10000_100neg_irllrec_intent_official_qwen3base_same_candidate/scores.csv
home,llm2rec,10000,101.0,1.0,0.0563865859396318,0.0577,0.034207889197971464,0.1101,0.05094946457092549,0.2153,0.07719596686909931,same_schema_external_baseline,official_completed,official_code_qwen3base_default_hparams_declared_adaptation,outputs/home_large10000_100neg_llm2rec_sasrec_official_qwen3base_same_candidate/scores.csv
home,llmemb,10000,101.0,1.0,0.09012268660291177,0.1079,0.06899578967097944,0.1856,0.09390612986107003,0.3169,0.12674255822842873,same_schema_external_baseline,official_completed,official_code_qwen3base_default_hparams_declared_adaptation,outputs/home_large10000_100neg_llmemb_official_qwen3base_same_candidate/scores.csv
home,llmesr,10000,101.0,1.0,0.059737054548523474,0.0621,0.037993209299003045,0.1163,0.055376101596196485,0.2139,0.0797502336556021,same_schema_external_baseline,official_completed,official_code_qwen3base_default_hparams_declared_adaptation,outputs/home_large10000_100neg_llmesr_sasrec_official_qwen3base_same_candidate/scores.csv
home,proex,10000,101.0,1.0,0.05933326491258513,0.0606,0.03662857786324662,0.1177,0.054867449700296195,0.2296,0.08290060869107069,same_schema_external_baseline,official_completed,official_code_qwen3base_default_hparams_declared_adaptation,outputs/home_large10000_100neg_proex_profile_official_qwen3base_same_candidate/scores.csv
home,promax,10000,101.0,1.0,0.053474908740382465,0.0514,0.030788292596664168,0.1019,0.04691808776215203,0.2076,0.07326077825489297,same_schema_external_baseline,official_completed,official_code_qwen3base_default_hparams_declared_adaptation,outputs/home_large10000_100neg_promax_profile_official_qwen3base_same_candidate/scores.csv
