target_coverage,certified_alpha,lambda,b2_served_m,achieved_test_coverage,test_served_risk,test_served_NDCG@k,guarantee_held
0.95,0.891333,0.057409,223,0.9363,0.883638,0.116362,True
0.9,0.886967,0.09633,209,0.8983,0.880217,0.119783,True
0.85,0.885045,0.112082,200,0.8767,0.879117,0.120883,True
0.8,0.881282,0.157358,183,0.8119,0.880722,0.119278,True
0.75,0.87434,0.198958,170,0.7646,0.879653,0.120347,False
0.7,0.872833,0.223001,161,0.7338,0.876043,0.123957,False
0.65,0.870226,0.249733,155,0.6886,0.873961,0.126039,False
0.6,0.853299,0.295296,137,0.6331,0.874361,0.125639,False
0.55,0.84486,0.321455,127,0.6002,0.869882,0.130118,False
0.5,0.844939,0.366185,114,0.5365,0.866994,0.133006,False
0.45,0.846779,0.393972,108,0.5036,0.865701,0.134299,False
0.4,0.839034,0.429778,99,0.4625,0.864879,0.135121,False
0.35,0.818147,0.479757,78,0.3885,0.871229,0.128771,False
0.3,0.825541,0.50952,72,0.3484,0.864817,0.135183,False
0.25,0.821468,0.544293,64,0.3104,0.855634,0.144366,False
0.2,0.825446,0.582756,50,0.2713,0.845003,0.154997,False
0.15,0.788091,0.652989,36,0.2148,0.835537,0.164463,False
0.1,0.788549,0.752279,24,0.1367,0.797915,0.202085,False
